timestamp,model,latency,response_length
1767694233.58527,chatgpt,0.473,407
1767694234.139075,llama,1.026,34
1767694234.549182,gemini,1.437,32
1767694277.804033,chatgpt,0.35,407
1767694278.482847,llama,1.026,34
1767694280.430109,gemini,2.975,32
1767699636.2287722,chatgpt,0.628,407
1767699636.6268501,llama,1.025,34
1767699637.347918,gemini,1.746,32
1767699772.8812191,chatgpt,0.378,407
1767699773.7130141,llama,1.209,95
1767699773.787542,gemini,1.284,32
1767700119.281795,chatgpt,0.346,407
1767700120.053483,llama,1.117,34
1767700120.439004,gemini,1.503,32
1767700211.874315,chatgpt,0.361,407
1767700212.705791,llama,1.192,47
1767700213.727137,gemini,2.214,32
1767700775.832594,chatgpt,0.551,407
1767700776.405805,llama,1.123,95
1767700776.565303,gemini,1.283,38
1767700965.185379,chatgpt,0.372,407
1767700965.9606678,llama,1.146,34
1767700967.5987048,gemini,2.785,32
1767701113.865494,chatgpt,0.366,407
1767701114.442167,llama,0.941,33
1767701115.056416,gemini,1.556,32
1767760482.938211,chatgpt,0.538,407
1767760483.5200331,llama,1.119,74
1767760485.594659,gemini,3.194,382
1767760530.022201,chatgpt,0.397,407
1767760533.820302,llama,4.194,990
1767760563.008854,gemini,33.383,2270
